"Estado","Parametro","Moda","HDI_lower","HDI_upper","Mediana"
"BAJA_CALIFORNIA","Beta",0.164,0.123,0.206,0.163
"BAJA_CALIFORNIA","DispersionParameter",1.623,1.299,2.13,1.696
"BAJA_CALIFORNIA","ObservedFraction",0.018,0.017,0.019,0.018
"BAJA_CALIFORNIA_SUR","Beta",0.196,0.17,0.234,0.197
"BAJA_CALIFORNIA_SUR","DispersionParameter",3.215,2.424,4.134,3.251
"BAJA_CALIFORNIA_SUR","ObservedFraction",0.064,0.063,0.066,0.064
"SONORA","Beta",0.184,0.15,0.221,0.185
"SONORA","DispersionParameter",2.415,1.899,3.172,2.48
"SONORA","ObservedFraction",0.018,0.017,0.018,0.018
"CHIHUAHUA","Beta",0.179,0.139,0.219,0.177
"CHIHUAHUA","DispersionParameter",1.753,1.349,2.228,1.775
"CHIHUAHUA","ObservedFraction",0.018,0.017,0.018,0.018
"COAHUILA","Beta",0.197,0.168,0.237,0.2
"COAHUILA","DispersionParameter",2.778,2.121,3.586,2.809
"COAHUILA","ObservedFraction",0.016,0.016,0.016,0.016
"NUEVO_LEON","Beta",0.218,0.185,0.257,0.219
"NUEVO_LEON","DispersionParameter",2.591,2.027,3.342,2.668
"NUEVO_LEON","ObservedFraction",0.02,0.02,0.021,0.02
"TAMAULIPAS","Beta",0.198,0.17,0.238,0.203
"TAMAULIPAS","DispersionParameter",2.839,2.189,3.681,2.86
"TAMAULIPAS","ObservedFraction",0.013,0.013,0.013,0.013
"SINALOA","Beta",0.189,0.169,0.228,0.196
"SINALOA","DispersionParameter",3.042,2.328,3.931,3.062
"SINALOA","ObservedFraction",0.017,0.016,0.017,0.017
"DURANGO","Beta",0.195,0.156,0.244,0.195
"DURANGO","DispersionParameter",1.641,1.313,2.244,1.739
"DURANGO","ObservedFraction",0.011,0.01,0.011,0.011
"ZACATECAS","Beta",0.224,0.186,0.266,0.222
"ZACATECAS","DispersionParameter",2.12,1.657,2.888,2.219
"ZACATECAS","ObservedFraction",0.016,0.016,0.016,0.016
"SAN_LUIS_POTOSI","Beta",0.213,0.178,0.25,0.212
"SAN_LUIS_POTOSI","DispersionParameter",2.671,2.041,3.441,2.667
"SAN_LUIS_POTOSI","ObservedFraction",0.03,0.03,0.031,0.03
"AGUASCALIENTES","Beta",0.149,0.116,0.194,0.152
"AGUASCALIENTES","DispersionParameter",1.244,0.948,1.553,1.248
"AGUASCALIENTES","ObservedFraction",0.024,0.023,0.027,0.025
"NAYARIT","Beta",0.207,0.175,0.245,0.208
"NAYARIT","DispersionParameter",2.658,1.986,3.462,2.656
"NAYARIT","ObservedFraction",0.02,0.02,0.021,0.02
"JALISCO","Beta",0.199,0.167,0.236,0.198
"JALISCO","DispersionParameter",2.463,1.957,3.196,2.536
"JALISCO","ObservedFraction",0.011,0.011,0.011,0.011
"COLIMA","Beta",0.222,0.194,0.255,0.223
"COLIMA","DispersionParameter",3.566,2.596,4.739,3.648
"COLIMA","ObservedFraction",0.029,0.029,0.03,0.029
"GUANAJUATO","Beta",0.184,0.161,0.224,0.189
"GUANAJUATO","DispersionParameter",2.883,2.195,3.625,2.875
"GUANAJUATO","ObservedFraction",0.015,0.015,0.015,0.015
"QUERETARO","Beta",0.196,0.167,0.237,0.199
"QUERETARO","DispersionParameter",2.298,1.733,2.946,2.302
"QUERETARO","ObservedFraction",0.021,0.021,0.022,0.021
"HIDALGO","Beta",0.199,0.173,0.228,0.2
"HIDALGO","DispersionParameter",3.332,2.47,4.267,3.365
"HIDALGO","ObservedFraction",0.011,0.011,0.011,0.011
"MEXICO","Beta",0.179,0.148,0.212,0.18
"MEXICO","DispersionParameter",2.305,1.822,2.95,2.337
"MEXICO","ObservedFraction",0.01,0.01,0.011,0.01
"DISTRITO_FEDERAL","Beta",0.194,0.166,0.222,0.193
"DISTRITO_FEDERAL","DispersionParameter",3.622,2.834,4.655,3.696
"DISTRITO_FEDERAL","ObservedFraction",0.052,0.051,0.053,0.052
"MICHOACAN","Beta",0.204,0.174,0.24,0.207
"MICHOACAN","DispersionParameter",2.655,1.984,3.503,2.695
"MICHOACAN","ObservedFraction",0.005,0.004,0.005,0.005
"MORELOS","Beta",0.17,0.142,0.202,0.171
"MORELOS","DispersionParameter",2.188,1.699,2.895,2.25
"MORELOS","ObservedFraction",0.012,0.011,0.013,0.012
"TLAXCALA","Beta",0.189,0.163,0.221,0.191
"TLAXCALA","DispersionParameter",2.883,2.128,3.749,2.907
"TLAXCALA","ObservedFraction",0.011,0.011,0.012,0.011
"PUEBLA","Beta",0.175,0.154,0.198,0.176
"PUEBLA","DispersionParameter",4.428,3.424,5.723,4.429
"PUEBLA","ObservedFraction",0.008,0.007,0.008,0.008
"VERACRUZ","Beta",0.184,0.158,0.208,0.182
"VERACRUZ","DispersionParameter",3.432,2.559,4.316,3.44
"VERACRUZ","ObservedFraction",0.007,0.007,0.007,0.007
"GUERRERO","Beta",0.216,0.19,0.255,0.219
"GUERRERO","DispersionParameter",3.493,2.604,4.714,3.547
"GUERRERO","ObservedFraction",0.006,0.006,0.007,0.006
"OAXACA","Beta",0.18,0.16,0.207,0.183
"OAXACA","DispersionParameter",3.929,2.951,4.959,3.934
"OAXACA","ObservedFraction",0.01,0.01,0.01,0.01
"TABASCO","Beta",0.252,0.208,0.298,0.25
"TABASCO","DispersionParameter",2.106,1.568,2.661,2.072
"TABASCO","ObservedFraction",0.019,0.018,0.019,0.019
"CHIAPAS","Beta",0.207,0.179,0.239,0.208
"CHIAPAS","DispersionParameter",2.968,2.297,4.116,3.15
"CHIAPAS","ObservedFraction",0.004,0.004,0.004,0.004
"CAMPECHE","Beta",0.2,0.172,0.231,0.202
"CAMPECHE","DispersionParameter",3.217,2.434,4.484,3.343
"CAMPECHE","ObservedFraction",0.011,0.011,0.011,0.011
"YUCATAN","Beta",0.209,0.169,0.262,0.209
"YUCATAN","DispersionParameter",1.48,1.155,1.949,1.525
"YUCATAN","ObservedFraction",0.017,0.016,0.017,0.017
"QUINTANA_ROO","Beta",0.234,0.193,0.275,0.231
"QUINTANA_ROO","DispersionParameter",2.549,1.903,3.391,2.619
"QUINTANA_ROO","ObservedFraction",0.02,0.02,0.02,0.02
